file,S_conc,Qcmb_final,Qa_final,t_final(Myrs),r_cmb,rsnow_final,Pcen,kcmb_final,sigma,Lcmb,Tmcmb,EJ_final,ADR_final,Brms_final,Ro_final,Rm_final,lp final,MEKE_Final,rho_solid,rho_liquid,rho,entropy_melting,alpha_c,Cp,alphaT,failure_reason
<_io.BufferedReader name='../500km/output_snow/S=5_q=1_adiabatic.pik'>,0.05,0.3141592653589793,1.4628099511991466,46.5,500.0,0.0,7.05100225278947,28.875773076766386,632202.4954115816,297534.58813244855,1850.2090501044815,[256308.62055896],0.21476217818389962,0.0008706034618778662,0.00742346795704206,311.4396242769202,41855.07665706583,11.606374530494284,7728.936724959547,6875.615861795534,6875.615861795534,1.4632974924763978e-23,1.4054222571077306,[750.00596839],[6.78197399e-05],Snow zone covers whole core
<_io.BufferedReader name='../500km/output_snow/S=5_q=5_adiabatic.pik'>,0.05,1.5707963267948968,1.462809962924399,9.3,500.0,0.0,7.05100225282224,28.875773078763107,632202.4954115816,297534.58820206247,1850.2090501031678,[1559667.00243246],1.073810882320152,0.0015894334933774063,0.016564091724639997,694.924165005191,51155.19189174547,7.7699135474403045,7728.936724902056,6875.615861863769,6875.615861863769,1.4632974925682213e-23,1.4054222570671286,[750.00596245],[6.78197399e-05],Snow zone covers whole core
<_io.BufferedReader name='../500km/output_snow/S=5_q=10_adiabatic.pik'>,0.05,3.1415926535897936,1.4628295604990273,4.72,500.0,0.0,7.05100225282224,28.875773078763107,632202.4954115816,297538.574335904,1850.2483879137292,[3043507.12534574],2.14760982714454,0.0024289433945171705,0.04360302533250595,1000.2601857456963,48182.60242840196,4.788965279763886,7728.936724902056,6875.615861863769,6875.615861863769,1.4632974925682213e-23,1.4054222570671286,[750.00596245],[6.78197399e-05],Snow zone covers whole core
<_io.BufferedReader name='../500km/output_snow/S=10_q=1_adiabatic.pik'>,0.1,0.3141592653589793,0.8387709946452158,175.5,500.0,0.0,6.8880096433067495,18.24557738077595,424333.11755876435,263227.9032992286,1736.7233984634252,[202620.75645612],0.37454300525085477,0.0008864907272360889,0.010136218104690882,195.37482849277058,37432.84835302759,9.932578968431311,7774.70417354879,6527.406276751204,6527.406276751204,1.3801568526566662e-23,0.9647731209914278,[688.49152599],[6.34054434e-05],Snow zone covers whole core
<_io.BufferedReader name='../500km/output_snow/S=10_q=5_adiabatic.pik'>,0.1,1.5707963267948968,0.8387709850532854,35.1,500.0,0.0,6.888009643306749,18.24557737902815,424333.11755876435,263227.9032201405,1736.7233985461828,[1178695.49634554],1.87271504766816,0.0015943390575538406,0.022169323789467496,427.31027553367915,45521.97681744105,6.716202418388236,7774.704173625354,6527.406276751202,6527.406276751202,1.380156852505037e-23,0.964773121014279,[688.49153381],[6.34054434e-05],Snow zone covers whole core
<_io.BufferedReader name='../500km/output_snow/S=10_q=10_adiabatic.pik'>,0.1,3.1415926535897936,0.8387876570078272,17.55,500.0,0.0,6.888009643306749,18.24557737902815,424333.11755876435,263233.1353081774,1736.7746194654756,[2400639.57960877],3.745388793434139,0.0024310031815107853,0.05629586391527676,623.4347401228495,43557.59918132391,4.214652337366863,7774.704173625354,6527.406276751202,6527.406276751202,1.380156852505037e-23,0.964773121014279,[688.49153381],[6.34054434e-05],Snow zone covers whole core
<_io.BufferedReader name='../500km/output_snow/S=15_q=1_adiabatic.pik'>,0.15,0.3141592653589793,0.5198734949335073,335.0,500.0,0.0,6.792772667790872,12.209448920487059,307527.62832310447,221233.33653227458,1594.5221223810277,[260396.60029284],0.6042880072798276,0.002554391328018089,0.31940833955605913,216.47108378713108,19534.951360309005,1.7694034692117715,7834.061530931306,6315.065938997764,6315.065938997764,1.2631818136693182e-23,0.7083836144023814,[628.32824329],[6.03365493e-05],Snow zone covers whole core
<_io.BufferedReader name='../500km/output_snow/S=15_q=5_adiabatic.pik'>,0.15,1.5707963267948968,0.5198734971334836,67.0,500.0,0.0,6.792772667783001,12.209448920937902,307527.62832310447,221233.33652466576,1594.5221221316935,[1415442.45790026],3.0214400232636938,0.004491332749061436,0.6778511140514393,459.3899196807901,23577.953310617522,1.214598786607973,7834.061530903641,6315.065938979917,6315.065938979917,1.2631818137073764e-23,0.7083836143985506,[628.32824057],[6.03365493e-05],Snow zone covers whole core
<_io.BufferedReader name='../500km/output_snow/S=15_q=10_adiabatic.pik'>,0.15,3.1415926535897936,0.5198979967279538,33.42,500.0,0.0,6.792772667783001,12.209448920937902,307527.62832310447,221243.7623822216,1594.616180047105,[2129032.24377828],6.042693303577977,0.002578226687240222,0.0811727229463872,437.4569255516145,39112.36442733622,3.5099016118665203,7834.061530903641,6315.065938979917,6315.065938979917,1.2631818137073764e-23,0.7083836143985506,[628.32824057],[6.03365493e-05],Snow zone covers whole core
