file,S_conc,Qcmb_final,Qa_final,t_final(Myrs),r_cmb,rsnow_final,Pcen,kcmb_final,sigma,Lcmb,Tmcmb,EJ_final,ADR_final,Brms_final,Ro_final,Rm_final,lp final,MEKE_Final,rho_solid,rho_liquid,rho,entropy_melting,alpha_c,Cp,alphaT,failure_reason
<_io.BufferedReader name='../800km/output_snow/S=5_q=1_adiabatic.pik'>,0.05,0.8042477193189871,5.92910438018933,186.0,800.0,0.0,10.329099969468658,29.458514779030665,632202.4954115816,306996.02265924844,1861.6229770946009,[977457.31749529],0.1356434444151802,0.0015332427077525404,0.019463882197969698,589.438632302912,45250.65283891468,7.167789889205814,7808.1858570256245,6958.515463041955,6958.515463041955,1.4538700355300558e-23,1.3805254781000276,[745.9261084],[6.39625882e-05],Snow zone covers whole core
<_io.BufferedReader name='../800km/output_snow/S=5_q=5_adiabatic.pik'>,0.05,4.0212385965949355,5.9291044081230595,37.2,800.0,0.0,10.32909996946841,29.45851478195809,632202.4954115816,306996.0227568855,1861.6229770598993,[7634728.62618388],0.6782172188864182,0.003042082910110506,0.048525057715914276,1469.571012504595,56861.28776308103,4.539593543858834,7808.18585694302,6958.5154630417555,6958.5154630417555,1.453870035662958e-23,1.3805254780602683,[745.92610497],[6.39625882e-05],Snow zone covers whole core
<_io.BufferedReader name='../800km/output_snow/S=5_q=10_adiabatic.pik'>,0.05,8.042477193189871,5.929109340724141,18.71,800.0,0.0,10.32909996946841,29.45851478195809,632202.4954115816,306996.2781561515,1861.633445696071,[18798095.15972054],1.356437921861401,0.010537675642302721,1.6736457560051647,3002.544117101852,33538.35299099112,0.7729799511157087,7808.18585694302,6958.5154630417555,6958.5154630417555,1.453870035662958e-23,1.3805254780602683,[745.92610497],[6.39625882e-05],Snow zone covers whole core
<_io.BufferedReader name='../800km/output_snow/S=10_q=1_adiabatic.pik'>,0.1,0.8042477193189871,3.344868478980271,694.0,800.0,0.0,9.909113407883845,18.5574261001825,424333.11755876435,269205.84031015757,1735.6258193260442,[919560.88198688],0.2404408845599681,0.0013959266273390416,0.01636577395246686,376.3559775479094,46089.588292527,7.816849057207218,7850.123874247813,6612.366610565851,6612.366610565851,1.3703138248943226e-23,0.9201512755203625,[683.04802309],[5.92224963e-05],Snow zone covers whole core
<_io.BufferedReader name='../800km/output_snow/S=10_q=5_adiabatic.pik'>,0.1,4.0212385965949355,3.3448685028564507,138.8,800.0,0.0,9.909113407961522,18.557426102886282,424333.11755876435,269205.84042186977,1735.6258191953525,[6206567.90438445],1.2022044142193016,0.002638056844203529,0.038237931638375106,879.3525187221262,56983.02028103608,5.113906740612707,7850.123874134773,6612.366610631548,6612.366610631548,1.3703138250731364e-23,0.9201512754744272,[683.0480183],[5.92224963e-05],Snow zone covers whole core
<_io.BufferedReader name='../800km/output_snow/S=10_q=10_adiabatic.pik'>,0.1,8.042477193189871,3.3449120676190494,69.38,800.0,0.0,9.909113407961522,18.557426102886282,424333.11755876435,269209.34665493044,1735.658684393816,[12784893.25021981],2.404388505804549,0.003977711100111021,0.0928443484962529,1283.0117901802196,55139.65088686576,3.281876721747637,7850.123874134773,6612.366610631548,6612.366610631548,1.3703138250731364e-23,0.9201512754744272,[683.0480183],[5.92224963e-05],Snow zone covers whole core
<_io.BufferedReader name='../800km/output_snow/S=15_q=1_adiabatic.pik'>,0.15,0.8042477193189871,2.020458696205769,1307.5,800.0,0.0,9.67620469546891,12.334156176486019,307527.62832310447,221607.41248368152,1570.5541631975648,[930391.18276584],0.3980490268788532,0.0018181468003227914,0.04318498487500091,293.73109109774913,37526.729567950926,4.812088590366847,7910.632306192182,6412.3560961122885,6412.3560961122885,1.2463104718688705e-23,0.6469845740061593,[621.27184441],[5.57859129e-05],Snow zone covers whole core
<_io.BufferedReader name='../800km/output_snow/S=15_q=5_adiabatic.pik'>,0.15,4.0212385965949355,2.0204586899439967,261.5,800.0,0.0,9.676204695434004,12.334156175694382,307527.62832310447,221607.41244310068,1570.554163299707,[5735554.96830225],1.9902451405639678,0.0033337382020059087,0.09691730984054052,659.2053457293622,45931.324995081435,3.2121759384962476,7910.632306238259,6412.356096081847,6412.356096081847,1.246310471757112e-23,0.6469845740200811,[621.27184632],[5.57859129e-05],Snow zone covers whole core
<_io.BufferedReader name='../800km/output_snow/S=15_q=10_adiabatic.pik'>,0.15,8.042477193189871,2.0205101779699155,130.66,800.0,0.0,9.676204695434004,12.334156175694382,307527.62832310447,221613.05973906,1570.6058172058385,[11549291.59602136],3.9804131060510923,0.0037121939126998197,0.08697660202910076,862.8166208779959,53989.28715538934,3.3907735097989202,7910.632306238259,6412.356096081847,6412.356096081847,1.246310471757112e-23,0.6469845740200811,[621.27184632],[5.57859129e-05],Snow zone covers whole core
