file,S_conc,Qcmb_final,Qa_final,t_final(Myrs),r_cmb,rsnow_final,Pcen,kcmb_final,sigma,Lcmb,Tmcmb,EJ_final,ADR_final,Brms_final,Ro_final,Rm_final,lp final,MEKE_Final,rho_solid,rho_liquid,rho,entropy_melting,alpha_c,Cp,alphaT,failure_reason
<_io.BufferedReader name='../800km/output_snow_kelFeSVostryakov/S=5_q=1_adiabatic.pik'>,0.05,0.8042477193189871,5.376683600096364,186.0,800.0,0.0,10.329099969468658,26.71383452530023,632202.4954115816,306996.02265924844,1861.6229770946009,[1040491.77165371],0.14957996420165,0.0015655172491716946,0.020012072450188944,606.0398688508604,45565.957315776934,7.068934649686908,7808.1858570256245,6958.515463041955,6958.515463041955,1.4538700355300558e-23,1.3805254781000276,[745.9261084],[6.39625882e-05],Snow zone covers whole core
<_io.BufferedReader name='../800km/output_snow_kelFeSVostryakov/S=5_q=5_adiabatic.pik'>,0.05,4.0212385965949355,5.376683625174119,37.2,800.0,0.0,10.32909996946841,26.713834526696097,632202.4954115816,306996.0227568855,1861.6229770598993,[7697763.08095559],0.7478998175263102,0.0030504320701938976,0.04870271173215299,1474.951226456073,56913.25986563714,4.531306389076952,7808.18585694302,6958.5154630417555,6958.5154630417555,1.453870035662958e-23,1.3805254780602683,[745.92610497],[6.39625882e-05],Snow zone covers whole core
<_io.BufferedReader name='../800km/output_snow_kelFeSVostryakov/S=5_q=10_adiabatic.pik'>,0.05,8.042477193189871,5.376688098199663,18.71,800.0,0.0,10.32909996946841,26.713834526696097,632202.4954115816,306996.2781561515,1861.633445696071,[18861129.61468802],1.4958034771096034,0.01054944094028737,1.6761377165918785,3007.0147295793377,33550.83018769329,0.7724051319844593,7808.18585694302,6958.5154630417555,6958.5154630417555,1.453870035662958e-23,1.3805254780602683,[745.92610497],[6.39625882e-05],Snow zone covers whole core
<_io.BufferedReader name='../800km/output_snow_kelFeSVostryakov/S=10_q=1_adiabatic.pik'>,0.1,0.8042477193189871,3.951678590283557,694.0,800.0,0.0,9.909113407883845,21.924025973426925,424333.11755876435,269205.84031015757,1735.6258193260442,[848195.66452435],0.20351936966742584,0.0013588382965328482,0.01578859424804983,363.082848363332,45677.73468177281,7.9584458938899765,7850.123874247813,6612.366610565851,6612.366610565851,1.3703138248943226e-23,0.9201512755203625,[683.04802309],[5.92224963e-05],Snow zone covers whole core
<_io.BufferedReader name='../800km/output_snow_kelFeSVostryakov/S=10_q=5_adiabatic.pik'>,0.1,4.0212385965949355,3.951678618267178,138.8,800.0,0.0,9.909113407961522,21.924025975378115,424333.11755876435,269205.84042186977,1735.6258191953525,[6135202.68593535],1.0175968411318945,0.0026279067509957623,0.03804189367317236,874.8442602708978,56909.84440708351,5.1270663331384965,7850.123874134773,6612.366610631548,6612.366610631548,1.3703138250731364e-23,0.9201512754744272,[683.0480183],[5.92224963e-05],Snow zone covers whole core
<_io.BufferedReader name='../800km/output_snow_kelFeSVostryakov/S=10_q=10_adiabatic.pik'>,0.1,8.042477193189871,3.951730086341551,69.38,800.0,0.0,9.909113407961522,21.924025975378115,424333.11755876435,269209.34665493044,1735.658684393816,[12713528.03167831],2.035176480323776,0.003970296097421944,0.09261365397663995,1279.8238332028996,55105.36693391598,3.2859616490189114,7850.123874134773,6612.366610631548,6612.366610631548,1.3703138250731364e-23,0.9201512754744272,[683.0480183],[5.92224963e-05],Snow zone covers whole core
<_io.BufferedReader name='../800km/output_snow_kelFeSVostryakov/S=15_q=1_adiabatic.pik'>,0.15,0.8042477193189871,2.9707272968141303,1307.5,800.0,0.0,9.67620469546891,18.135195985676297,307527.62832310447,221607.41248368152,1570.5541631975648,[806355.72271523],0.2707221287985969,0.0017334685822948965,0.04052429581829212,275.63389592769073,36934.85461253463,4.967550164800778,7910.632306192182,6412.3560961122885,6412.3560961122885,1.2463104718688705e-23,0.6469845740061593,[621.27184441],[5.57859129e-05],Snow zone covers whole core
<_io.BufferedReader name='../800km/output_snow_kelFeSVostryakov/S=15_q=5_adiabatic.pik'>,0.15,4.0212385965949355,2.970727287668679,261.5,800.0,0.0,9.676204695434004,18.135195984887023,307527.62832310447,221607.41244310068,1570.554163299707,[5611519.50901737],1.3536106481611714,0.003309531370282627,0.09598013678021772,652.8309478818073,45819.88314308252,3.227820070882789,7910.632306238259,6412.356096081847,6412.356096081847,1.246310471757112e-23,0.6469845740200811,[621.27184632],[5.57859129e-05],Snow zone covers whole core
<_io.BufferedReader name='../800km/output_snow_kelFeSVostryakov/S=15_q=10_adiabatic.pik'>,0.15,8.042477193189871,2.9708029917077403,130.66,800.0,0.0,9.676204695434004,18.135195984887023,307527.62832310447,221613.05973906,1570.6058172058385,[11425256.13535578],2.7071688078104215,0.0036988568198263456,0.08656020142145429,858.6858850612429,53924.55237246538,3.3989194370088236,7910.632306238259,6412.356096081847,6412.356096081847,1.246310471757112e-23,0.6469845740200811,[621.27184632],[5.57859129e-05],Snow zone covers whole core
