file,S_conc,Qcmb_final,Qa_final,t_final(Myrs),r_cmb,rsnow_final,Pcen,kcmb_final,sigma,Lcmb,Tmcmb,EJ_final,ADR_final,Brms_final,Ro_final,Rm_final,lp final,MEKE_Final,rho_solid,rho_liquid,rho,entropy_melting,alpha_c,Cp,alphaT,failure_reason
<_io.BufferedReader name='../500km/output_snow_kelFeSVostryakov/S=5_q=1_adiabatic.pik'>,0.05,0.3141592653589793,1.3390792755711645,46.5,500.0,0.0,7.05100225278947,26.433337605815584,632202.4954115816,297534.58813244855,1850.2090501044815,[262099.79512558],0.23460616344361981,0.0008771116494150235,0.007497552073582184,314.5477038906075,41959.11358048357,11.548890259843898,7728.936724959547,6875.615861795534,6875.615861795534,1.4632974924763978e-23,1.4054222571077306,[750.00596839],[6.78197399e-05],Snow zone covers whole core
<_io.BufferedReader name='../500km/output_snow_kelFeSVostryakov/S=5_q=5_adiabatic.pik'>,0.05,1.5707963267948968,1.3390792862611989,9.3,500.0,0.0,7.05100225282224,26.433337606785788,632202.4954115816,297534.58820206247,1850.2090501031678,[1565458.17709326],1.173030807862234,0.0015913982969344776,0.016591398636059167,696.069789705434,51176.26198080331,7.76351686810139,7728.936724902056,6875.615861863769,6875.615861863769,1.4632974925682213e-23,1.4054222570671286,[750.00596245],[6.78197399e-05],Snow zone covers whole core
<_io.BufferedReader name='../500km/output_snow_kelFeSVostryakov/S=5_q=10_adiabatic.pik'>,0.05,3.1415926535897936,1.3390972261897687,4.72,500.0,0.0,7.05100225282224,26.433337606785788,632202.4954115816,297538.574335904,1850.2483879137292,[3049298.30000737],2.3460485752063187,0.0024304830133874086,0.043639880387450064,1001.1056464407501,48192.78067787799,4.786942647518704,7728.936724902056,6875.615861863769,6875.615861863769,1.4632974925682213e-23,1.4054222570671286,[750.00596245],[6.78197399e-05],Snow zone covers whole core
<_io.BufferedReader name='../500km/output_snow_kelFeSVostryakov/S=10_q=1_adiabatic.pik'>,0.1,0.3141592653589793,0.9974599164973879,175.5,500.0,0.0,6.8880096433067495,21.69749813341285,424333.11755876435,263227.9032992286,1736.7233984634252,[194969.95791991],0.31495582314208254,0.0008751895411942616,0.009964293455128007,192.06099402560562,37273.100084769074,10.017901226045913,7774.70417354879,6527.406276751204,6527.406276751204,1.3801568526566662e-23,0.9647731209914278,[688.49152599],[6.34054434e-05],Snow zone covers whole core
<_io.BufferedReader name='../500km/output_snow_kelFeSVostryakov/S=10_q=5_adiabatic.pik'>,0.1,1.5707963267948968,0.9974599051275395,35.1,500.0,0.0,6.888009643306749,21.697498132134886,424333.11755876435,263227.9032201405,1736.7233985461828,[1171044.69798212],1.5747791336593988,0.00159088200009355,0.022105253004847534,426.0753211034217,45489.05074460626,6.725928635970369,7774.704173625354,6527.406276751202,6527.406276751202,1.380156852505037e-23,0.964773121014279,[688.49153381],[6.34054434e-05],Snow zone covers whole core
<_io.BufferedReader name='../500km/output_snow_kelFeSVostryakov/S=10_q=10_adiabatic.pik'>,0.1,3.1415926535897936,0.9974797312856827,17.55,500.0,0.0,6.888009643306749,21.697498132134886,424333.11755876435,263233.1353081774,1736.7746194654756,[2392988.78113113],3.14952353626144,0.002428417910900217,0.05621605365887862,622.5509010093474,43542.15314056669,4.2176430594023975,7774.704173625354,6527.406276751202,6527.406276751202,1.380156852505037e-23,0.964773121014279,[688.49153381],[6.34054434e-05],Snow zone covers whole core
<_io.BufferedReader name='../500km/output_snow_kelFeSVostryakov/S=15_q=1_adiabatic.pik'>,0.15,0.3141592653589793,0.7668780444226223,335.0,500.0,0.0,6.792772667790872,18.010455241267064,307527.62832310447,221233.33653227458,1594.5221223810277,[247311.92217083],0.4096522525005821,0.0025108687535649156,0.3121727755965323,211.5673596880457,19423.367525892743,1.7897916890603474,7834.061530931306,6315.065938997764,6315.065938997764,1.2631818136693182e-23,0.7083836144023814,[628.32824329],[6.03365493e-05],Snow zone covers whole core
<_io.BufferedReader name='../500km/output_snow_kelFeSVostryakov/S=15_q=5_adiabatic.pik'>,0.15,1.5707963267948968,0.7668780476588078,67.0,500.0,0.0,6.792772667783001,18.010455241719498,307527.62832310447,221233.33652466576,1594.5221221316935,[1402357.77966454],2.0482612536224547,0.004477450242673643,0.6750589446815555,457.4976244024072,23553.63544248076,1.2171080978017876,7834.061530903641,6315.065938979917,6315.065938979917,1.2631818137073764e-23,0.7083836143985506,[628.32824057],[6.03365493e-05],Snow zone covers whole core
<_io.BufferedReader name='../500km/output_snow_kelFeSVostryakov/S=15_q=10_adiabatic.pik'>,0.15,3.1415926535897936,0.7669141876068517,33.42,500.0,0.0,6.792772667783001,18.010455241719498,307527.62832310447,221243.7623822216,1594.616180047105,[2115947.56520297],4.096395912526921,0.002572934045480159,0.080950621406617,436.2599735063774,39085.582512187626,3.514713314122007,7834.061530903641,6315.065938979917,6315.065938979917,1.2631818137073764e-23,0.7083836143985506,[628.32824057],[6.03365493e-05],Snow zone covers whole core
