file,S_conc,Qcmb_final,Qa_final,t_final(Myrs),r_cmb,rsnow_final,Pcen,kcmb_final,sigma,Lcmb,Tmcmb,EJ_final,ADR_final,Brms_final,Ro_final,Rm_final,lp final,MEKE_Final,rho_solid,rho_liquid,rho,entropy_melting,alpha_c,Cp,alphaT,failure_reason
<_io.BufferedReader name='../300km/output_snow_const/S=5_q=1_adiabatic.pik'>,0.05,0.11309733552923255,0.3178310684183529,11.0,300.0,0.0,5.5869769086677135,28.5765653922255,632202.4954115816,293113.93139465834,1842.107867244456,[34124.97088574],0.35583544603127754,0.0005206897357044938,0.0052107255851431,133.80120150785962,29972.182885730315,13.853225347063129,7688.779267,6832.773584,6832.773584,1.46785937514748e-23,1.42076925625963,[752.30301587],[7.00227877e-05],Snow zone covers whole core
<_io.BufferedReader name='../300km/output_snow_const/S=5_q=5_adiabatic.pik'>,0.05,0.5654866776461628,0.3178310684183529,2.2,300.0,0.0,5.5869769086677135,28.5765653922255,632202.4954115816,293113.93139465834,1842.107867244456,[192992.82055581],1.779177230156388,0.0009276880689719672,0.011254567453833597,288.99519331199485,36335.07202972446,9.426177115385542,7688.779267,6832.773584,6832.773584,1.46785937514748e-23,1.42076925625963,[752.30301587],[7.00227877e-05],Snow zone covers whole core
<_io.BufferedReader name='../300km/output_snow_const/S=5_q=10_adiabatic.pik'>,0.05,1.1309733552923256,0.31783798678034975,1.07,300.0,0.0,5.5869769086677135,28.5765653922255,632202.4954115816,293120.3117283803,1842.1724275330814,[434910.74042493],3.5583217418707713,0.00196625738264265,0.08008305988736426,486.7001549760142,28870.778543650802,3.533699952334054,7688.779267,6832.773584,6832.773584,1.46785937514748e-23,1.42076925625963,[752.30301587],[7.00227877e-05],Snow zone covers whole core
<_io.BufferedReader name='../300km/output_snow_const/S=10_q=1_adiabatic.pik'>,0.1,0.11309733552923255,0.29946587384886625,41.5,300.0,0.0,5.5869769086677135,28.5765653922255,424333.11755876435,276176.9641941944,1735.6638020909388,[40872.14832751],0.37765729349731814,0.0006227499626570117,0.00872991531709347,99.24855869378882,27694.731130307573,10.702740227383588,7688.779267,6832.773584,6832.773584,1.46785937514748e-23,1.42076925625963,[752.30301587],[7.00227877e-05],Snow zone covers whole core
<_io.BufferedReader name='../300km/output_snow_const/S=10_q=5_adiabatic.pik'>,0.1,0.5654866776461628,0.29946587384886625,8.3,300.0,0.0,5.5869769086677135,28.5765653922255,424333.11755876435,276176.9641941944,1735.6638020909388,[227154.2404226],1.8882864674865907,0.001103091414415754,0.018709998667852876,212.71001304115222,33509.124774606775,7.310770011523913,7688.779267,6832.773584,6832.773584,1.46785937514748e-23,1.42076925625963,[752.30301587],[7.00227877e-05],Snow zone covers whole core
<_io.BufferedReader name='../300km/output_snow_const/S=10_q=10_adiabatic.pik'>,0.1,1.1309733552923256,0.29947433989340544,4.1,300.0,0.0,5.5869769086677135,28.5765653922255,424333.11755876435,276184.7718500368,1735.7373326967993,[475370.25974082],3.776515988973178,0.0016541166207405017,0.044133610230770455,311.4220269949224,32716.72747725269,4.76009118716824,7688.779267,6832.773584,6832.773584,1.46785937514748e-23,1.42076925625963,[752.30301587],[7.00227877e-05],Snow zone covers whole core
<_io.BufferedReader name='../300km/output_snow_const/S=15_q=1_adiabatic.pik'>,0.15,0.11309733552923255,0.27712457298993776,97.5,300.0,0.0,5.5869769086677135,28.5765653922255,307527.62832310447,255573.10516990384,1606.1743553418544,[49086.6787027],0.40810288889504864,0.0007056062273995995,0.012338532372263181,77.67335640778808,26394.844704084684,9.00260608181694,7688.779267,6832.773584,6832.773584,1.46785937514748e-23,1.42076925625963,[752.30301587],[7.00227877e-05],Snow zone covers whole core
<_io.BufferedReader name='../300km/output_snow_const/S=15_q=5_adiabatic.pik'>,0.15,0.5654866776461628,0.27712457298993776,19.5,300.0,0.0,5.5869769086677135,28.5765653922255,307527.62832310447,255573.10516990384,1606.1743553418544,[268797.15811315],2.040514444475243,0.0012437012763047905,0.02627050400021776,165.37770933017833,31883.819080213332,6.16972486807502,7688.779267,6832.773584,6832.773584,1.46785937514748e-23,1.42076925625963,[752.30301587],[7.00227877e-05],Snow zone covers whole core
<_io.BufferedReader name='../300km/output_snow_const/S=15_q=10_adiabatic.pik'>,0.15,1.1309733552923256,0.27713430280755275,9.67,300.0,0.0,5.5869769086677135,28.5765653922255,307527.62832310447,255582.07831751677,1606.2552107349973,[570573.1090597],4.080943289986293,0.003501111881194492,0.5009900605979628,300.10721610001923,20553.221040748434,1.412815481183265,7688.779267,6832.773584,6832.773584,1.46785937514748e-23,1.42076925625963,[752.30301587],[7.00227877e-05],Snow zone covers whole core
