file,S_conc,Qcmb_final,Qa_final,t_final(Myrs),r_cmb,rsnow_final,Pcen,kcmb_final,sigma,Lcmb,Tmcmb,EJ_final,ADR_final,Brms_final,Ro_final,Rm_final,lp final,MEKE_Final,rho_solid,rho_liquid,rho,entropy_melting,alpha_c,Cp,alphaT,failure_reason
<_io.BufferedReader name='../300km/output_snow/S=5_q=1_adiabatic.pik'>,0.05,0.11309733552923255,0.3178297324044581,9.5,300.0,0.0,5.58697690868887,28.576565392225586,632202.4954115816,293112.69921698474,1842.1001233518673,[49698.26294296],0.3558337401913802,0.000520840850231622,0.004059509370153278,151.678625903318,33966.96342680034,15.695068876660546,7688.779266967657,6832.773584123133,6832.773584123133,1.467859375147489e-23,1.420769256259631,[752.30301587],[7.00227877e-05],Snow zone covers whole core
<_io.BufferedReader name='../300km/output_snow/S=5_q=5_adiabatic.pik'>,0.05,0.5654866776461628,0.31782972835206047,1.9,300.0,0.0,5.586976908695866,28.57656539106685,632202.4954115816,293112.69916786044,1842.1001232888689,[270859.94654102],1.7791687235953686,0.0009165858576037945,0.00862511455339063,322.2663420318856,41008.99957211711,10.767566536400409,7688.7792670022245,6832.773584163855,6832.773584163855,1.467859375100369e-23,1.4207692562662715,[752.3030254],[7.00227877e-05],Snow zone covers whole core
<_io.BufferedReader name='../300km/output_snow/S=5_q=10_adiabatic.pik'>,0.05,1.1309733552923256,0.3178381462776101,1.04,300.0,0.0,5.586976908695866,28.57656539106685,632202.4954115816,293120.46244693454,1842.173374998945,[493063.15657211],3.5583177978026566,0.0015677665730290263,0.03462121815860861,470.5900170372286,35010.53011068516,5.3743856598950295,7688.7792670022245,6832.773584163855,6832.773584163855,1.467859375100369e-23,1.4207692562662715,[752.3030254],[7.00227877e-05],Snow zone covers whole core
<_io.BufferedReader name='../300km/output_snow/S=10_q=1_adiabatic.pik'>,0.1,0.11309733552923255,0.18406240888700487,39.0,300.0,0.0,5.528289491384369,18.089985852654056,424333.11755876435,260591.75972073988,1735.3936533325884,[34034.25381211],0.6144376128490441,0.0006363576577235432,0.01117566968011367,96.54773660986008,25679.715972033395,9.45939196630313,7735.78131989534,6482.201208109136,6482.201208109136,1.3855567320902063e-23,0.990785878878593,[691.70403164],[6.59040354e-05],Snow zone covers whole core
<_io.BufferedReader name='../300km/output_snow/S=10_q=5_adiabatic.pik'>,0.1,0.5654866776461628,0.1840624094609679,7.8,300.0,0.0,5.5282894913856335,18.08998585282895,424333.11755876435,260591.75972771674,1735.3936533265235,[183638.49215157],3.0721880546690308,0.0011161357912489642,0.023638927457637394,204.21917246353834,30969.120415318826,6.5040836185460575,7735.781319887579,6482.201208116897,6482.201208116897,1.3855567320986636e-23,0.9907858788749513,[691.70402949],[6.59040354e-05],Snow zone covers whole core
<_io.BufferedReader name='../300km/output_snow/S=10_q=10_adiabatic.pik'>,0.1,1.1309733552923256,0.18406927355311892,3.9,300.0,0.0,5.5282894913856335,18.08998585282895,424333.11755876435,260601.47776768915,1735.4864174560548,[377102.99481484],6.144255036955845,0.0022605015078209726,0.1537826486529949,328.4220139191725,24591.037521764487,2.550036117863062,7735.781319887579,6482.201208116897,6482.201208116897,1.3855567320986636e-23,0.9907858788749513,[691.70402949],[6.59040354e-05],Snow zone covers whole core
<_io.BufferedReader name='../300km/output_snow/S=15_q=1_adiabatic.pik'>,0.15,0.11309733552923255,0.11585076063915825,75.0,300.0,0.0,5.493024066704797,12.159438364707725,307527.62832310447,221747.73722960832,1606.0639594740385,[28077.37928352],0.9762086310479576,0.0005700665562261803,0.009596996820633641,62.72474639764345,25257.16320641809,10.207804046200232,7793.615671167894,6262.108402035932,6262.108402035932,1.273844388298981e-23,0.7435297716267425,[632.57405538],[6.31234832e-05],Snow zone covers whole core
<_io.BufferedReader name='../300km/output_snow/S=15_q=5_adiabatic.pik'>,0.15,0.5654866776461628,0.11585076066002283,15.0,300.0,0.0,5.493024066702814,12.159438364714608,307527.62832310447,221747.73723155694,1606.0639594729307,[149716.9144191],4.881043154360663,0.00099593347617737,0.020193350134033273,131.9811585272926,30419.5528219992,7.037133859404765,7793.615671167422,6262.1084020233375,6262.1084020233375,1.2738443883092507e-23,0.743529771628238,[632.57405526],[6.31234832e-05],Snow zone covers whole core
<_io.BufferedReader name='../300km/output_snow/S=15_q=10_adiabatic.pik'>,0.15,1.1309733552923256,0.1158564966504571,7.47,300.0,0.0,5.493024066702814,12.159438364714608,307527.62832310447,221758.71638173543,1606.1752252112913,[302652.18671794],9.76179941503381,0.0015407544316383178,0.05408580975551468,193.0103712498165,28755.33557875277,4.299899765389016,7793.615671167422,6262.1084020233375,6262.1084020233375,1.2738443883092507e-23,0.743529771628238,[632.57405526],[6.31234832e-05],Snow zone covers whole core
